Position,Height,Notes,,Distance Down Course,Pre-Course,Braking,Post-Catch,Elevation,,Course Start,34000
Feet,Feet,,,,,,,,,,
0,4615.9,,,,,,10363.2,1406.92632,,,
50,4616.1,,,,,,10347.96,1406.98728,,,
100,4616.3,,,,,,10332.72,1407.04824,,,
150,4616.5,,,,,,10317.48,1407.1092,,,
200,4616.7,,,,,,10302.24,1407.17016,,,
250,4616.9,,,,,,10287,1407.23112,,,
300,4617,,,,,,10271.76,1407.2616,,,
350,4617.1,,,,,,10256.52,1407.29208,,,
400,4617.3,,,,,,10241.28,1407.35304,,,
450,4617.3,,,,,,10226.04,1407.35304,,,
500,4617.3,,,,,,10210.8,1407.35304,,,
550,4617.3,,,,,,10195.56,1407.35304,,,
600,4617.3,,,,,,10180.32,1407.35304,,,
650,4617.5,,,,,,10165.08,1407.414,,,
700,4617.6,,,,,,10149.84,1407.44448,,,
750,4617.7,,,,,,10134.6,1407.47496,,,
800,4617.8,,,,,,10119.36,1407.50544,,,
850,4617.9,,,,,,10104.12,1407.53592,,,
900,4618,,,,,,10088.88,1407.5664,,,
950,4618.2,,,,,,10073.64,1407.62736,,,
1000,4618.3,,,,,,10058.4,1407.65784,,,
1050,4618.2,,,,,,10043.16,1407.62736,,,
1100,4618.2,,,,,,10027.92,1407.62736,,,
1150,4618.2,,,,,,10012.68,1407.62736,,,
1200,4618.2,,,,,,9997.44,1407.62736,,,
1250,4618.1,,,,,,9982.2,1407.59688,,,
1300,4618,,,,,,9966.96,1407.5664,,,
1350,4617.8,,,,,,9951.72,1407.50544,,,
1400,4617.7,,,,,,9936.48,1407.47496,,,
1450,4617.6,,,,,,9921.24,1407.44448,,,
1500,4617.5,,,,,,9906,1407.414,,,
1550,4617.4,,,,,,9890.76,1407.38352,,,
1600,4617.3,,,,,,9875.52,1407.35304,,,
1650,4617.2,,,,,,9860.28,1407.32256,,,
1700,4617.1,,,,,,9845.04,1407.29208,,,
1750,4616.9,,,,,,9829.8,1407.23112,,,
1800,4616.8,,,,,,9814.56,1407.20064,,,
1850,4616.7,,,,,,9799.32,1407.17016,,,
1900,4616.7,,,,,,9784.08,1407.17016,,,
1950,4616.6,,,,,,9768.84,1407.13968,,,
2000,4616.6,,,,,,9753.6,1407.13968,,,
2050,4616.6,,,,,,9738.36,1407.13968,,,
2100,4616.5,,,,,,9723.12,1407.1092,,,
2150,4616.4,,,,,,9707.88,1407.07872,,,
2200,4616.4,,,,,,9692.64,1407.07872,,,
2250,4616.3,,,,,,9677.4,1407.04824,,,
2300,4616.4,End of Catch,,,,,9662.16,1407.07872,,,
2350,4616.4,,,,,9646.92,,1407.07872,,,
2400,4616.5,,,,,9631.68,,1407.1092,,,
2450,4616.6,,,,,9616.44,,1407.13968,,,
2500,4616.7,,,,,9601.2,,1407.17016,,,
2550,4616.9,,,,,9585.96,,1407.23112,,,
