Time (hh:mm:ss), Latitude (deg), Longitude (deg), Altitude (m), Distance (m), Displacement (m), Ground Speed (km/h), Target Speed (km/h), Power (W), Cadence (rpm), Velocity (km/h), Simulated Distance (m), Heart Rate (bpm), Battery (V),,,,,,,
Begin calibration... Waiting for calibration messages. Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 493 Hz. GPS lost connection. ,,,,,,,,,,,,,,,,,,,,
0:42:03,40.390995,-117.0427627,2123.135384,0,8399,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:05,40.3908805,-117.0428771,2122.847298,14,8413,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:07,40.3908004,-117.0429534,2125.990364,23,8422,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:09,40.390789,-117.0429,2119.612434,25,8422,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:11,40.389389,-117.0445404,2002.887329,193,8589,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:13,40.3886833,-117.0453948,1944.899292,279,8674,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:15,40.3886489,-117.0453948,1941.298218,282,8677,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:17,40.3886451,-117.0453872,1937.808228,284,8678,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:17,40.3886451,-117.0453872,1937.808228,284,8678,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:17,40.3886451,-117.0453872,1937.808228,284,8678,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:17,40.3886451,-117.0453872,1937.808228,284,8678,0,0,0,0,0,0,0,12.2314891, GPS lost connection. ,,,,,,
0:42:24,40.3886718,-117.045372,1939.697266,287,8675,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:27,40.3887367,-117.0453872,1946.888184,294,8668,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:29,40.3902435,-117.0436325,2060.529419,475,8489,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:31,40.390995,-117.0427474,2117.654427,567,8399,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:33,40.3910026,-117.0427474,2118.0243,567,8398,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:35,40.3894767,-117.0445251,2001.246338,749,8580,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:37,40.3887214,-117.0453948,1944.560303,841,8670,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:39,40.388729,-117.0453948,1946.017212,842,8669,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:41,40.3887367,-117.0453948,1947.187256,842,8668,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:43,40.3887176,-117.0453948,1945.434204,844,8670,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:45,40.3887214,-117.0453948,1946.904297,844,8670,0,0,0,0,0,0,0,12.2314891, ,,,,,,
0:42:47,40.3887176,-117.0453948,1946.815186,847,8670,0,0,0,0,0,0,0,12.191905, ,,,,,,
