Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
19:21:7, 19804.0039672, 0, 0.0, 0.0359999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.6791686, 0, 9.7263, 36.2309, 
19:21:7, 20725.0039672, 0, 0.0, 1.2239999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.7642517, 0, 9.7643, 36.4089, 
19:21:8, 21649.0041503, 0, 0.0, 0.4319999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.9711608, 0, 9.8898, 36.4089, 
19:21:9, 22565.0043029, 0, 0.0, 0.6479999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.9742126, 0, 9.8080, 36.2309, 
19:21:10, 23481.004425, 0, 0.0, 0.8279999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.6512145, 0, 9.8080, 36.4372, 
19:21:11, 24401.0046691, 0, 0.0, 1.2599999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.5042419, 0, 9.8080, 36.2309, 
19:21:12, 25317.0049133, 0, 0.0, 0.8279999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.3671569, 0, 9.6829, 36.4089, 
19:21:13, 26232.004898, 0, 0.0, 0.7919999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.1371765, 0, 9.8080, 36.2309, 
19:21:14, 27147.0053787, 0, 0.0, 0.3599999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.0092468, 0, 9.8080, 36.4089, 
19:21:16, 28921.0054321, 0, 0.0, 1.5479999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1369.7812194, 0, 9.8080, 36.2309, 
19:21:17, 29837.0059204, 1, 0.0, 0.5039999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1369.6672057, 0, 9.8080, 36.4372, 
19:21:18, 30752.0059204, 1, 0.0, 0.3599999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1369.4312438, 0, 9.8080, 36.2309, 
19:21:18, 31668.0061035, 1, 0.0, 0.2879999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.4162292, 0, 9.7643, 36.4372, 
19:21:19, 32588.0062561, 1, 0.0, 0.1079999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.3761901, 0, 9.8080, 36.6149, 
19:21:20, 33505.0063781, 1, 0.0, 0.4679999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.3711852, 0, 9.7263, 36.4089, 
19:21:21, 34421.0066223, 1, 0.0, 1.5839998, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.4222106, 0, 9.8080, 36.4089, 
19:21:22, 35337.0068664, 1, 0.0, 0.2159999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.4792175, 0, 9.8080, 36.4089, 
19:21:23, 36258.0068511, 1, 0.0, 0.5039999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.5882263, 0, 9.8080, 36.4089, 
19:21:24, 37174.0073318, 1, 0.0, 0.1439999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.6072692, 0, 9.7263, 36.2309, 
19:21:26, 38940.0073852, 1, 0.0, 0.5759999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.888153, 0, 9.8080, 36.4089, 
19:21:27, 39856.0078735, 1, 0.0, 0.2519999, 0, 137.088005, 0, 0, 0, 0, 40.6228332, -116.9325103, 1369.9401549, 0, 9.8080, 36.4089, 
19:21:28, 40776.0078735, 1, 0.0, 0.1439999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1369.9982604, 0, 9.7643, 36.2309, 
19:21:28, 41692.0080566, 1, 0.0, 0.2159999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.124237, 0, 9.8080, 36.4089, 
19:21:29, 42607.0082397, 1, 0.0, 0.2159999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.2192077, 0, 9.8080, 36.4089, 
19:21:30, 43522.0083312, 1, 0.0, 0.2519999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.1852722, 0, 9.8080, 36.2309, 
19:21:31, 44441.0085754, 1, 0.0, 0.9719998, 0, 137.088005, 0, 0, 0, 0, 40.6228408, -116.9325103, 1370.1982116, 0, 9.6829, 36.4089, 
19:21:32, 45358.0088195, 1, 0.0, 0.6839999, 0, 137.088005, 0, 0, 0, 0, 40.6228408, -116.9325103, 1370.3682555, 0, 9.8080, 36.2309, 
19:21:33, 46274.0088043, 1, 0.0, 0.6119999, 0, 137.088005, 0, 0, 0, 0, 40.6228408, -116.9325103, 1370.4742126, 0, 9.7263, 36.4089, 
19:21:34, 47195.0092849, 1, 0.0, 0.0359999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.6271667, 0, 9.6829, 36.4089, 
19:21:35, 48110.0092849, 1, 0.0, 0.8279999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.5672302, 0, 9.8080, 36.2309, 
19:21:37, 49876.0098266, 1, 0.0, 0.4679999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.6552428, 0, 9.7643, 36.2309, 
19:21:38, 50792.0078735, 1, 0.0, 0.2159999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.7432556, 0, 9.7263, 36.4089, 
19:21:38, 51713.0080566, 1, 0.0, 1.0439999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.8422546, 0, 9.7263, 36.6149, 
19:21:39, 52628.0082397, 1, 0.0, 0.6839999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.9341735, 0, 9.8080, 36.4372, 
19:21:40, 53543.0083312, 1, 0.0, 1.1159999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325103, 1370.7311706, 0, 9.8080, 36.4089, 
19:21:41, 54458.0085754, 0, 0.0, 0.4679999, 0, 137.088005, 0, 0, 0, 0, 40.622837, -116.9325027, 1370.8212585, 0, 9.7643, 36.4089, 
