Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
0.0, 0.0, 0.0, 42.250, 38.770, 39.730, 
0.0, 0.0, 0.0, 42.250, 38.739, 39.730, 
1.0, 0.0, 0.0, 42.250, 38.720, 39.720, 
1.0, 0.0, 0.0, 42.250, 38.740, 39.750, 
1.0, 0.0, 0.0, 42.250, 38.680, 39.699, 
2.0, 0.0, 0.0, 42.250, 38.750, 39.769, 
2.0, 0.0, 5968.0, 42.250, 38.709, 39.729, 
2.0, 0.0, 5968.0, 42.250, 38.740, 39.729, 
3.0, 0.0, 5968.0, 42.375, 38.739, 39.720, 
3.0, 0.0, 5968.0, 42.250, 38.830, 39.759, 
3.0, 0.0, 5968.0, 42.250, 38.779, 39.770, 
4.0, 0.0, 10000.0, 42.250, 38.769, 39.750, 
4.0, 0.0, 6063.0, 42.250, 38.750, 39.730, 
5.0, 0.0, 6063.0, 42.250, 38.789, 39.750, 
5.0, 0.0, 6063.0, 42.250, 38.800, 39.759, 
5.0, 0.0, 6063.0, 42.375, 38.739, 39.730, 
6.0, 0.0, 10000.0, 42.500, 38.809, 39.730, 
6.0, 0.0, 5952.0, 42.375, 38.739, 39.750, 
7.0, 0.0, 5952.0, 42.375, 38.670, 39.790, 
7.0, 0.0, 5952.0, 42.375, 38.800, 39.790, 
7.0, 0.0, 5952.0, 42.250, 38.699, 39.770, 
8.0, 0.0, 5977.500, 42.500, 38.779, 39.789, 
8.0, 0.0, 6003.0, 42.500, 38.720, 39.769, 
8.0, 0.0, 6003.0, 42.375, 38.759, 39.779, 
9.0, 0.0, 6003.0, 42.375, 38.779, 39.789, 
9.0, 0.0, 6003.0, 42.375, 38.769, 39.789, 
10.0, 0.0, 8001.500, 42.500, 38.789, 39.790, 
10.0, 0.0, 6008.0, 42.500, 38.839, 39.809, 
11.0, 0.0, 6008.0, 42.375, 38.770, 39.829, 
11.0, 0.0, 6008.0, 42.375, 38.750, 39.789, 
11.0, 0.0, 6008.0, 42.250, 38.789, 39.819, 
12.0, 0.0, 6005.0, 42.250, 38.729, 39.800, 
12.0, 0.0, 6002.0, 42.375, 38.729, 39.800, 
12.0, 0.0, 6002.0, 42.500, 38.779, 39.809, 
13.0, 0.0, 6002.0, 42.250, 38.750, 39.829, 
13.0, 0.0, 6002.0, 42.500, 38.759, 39.829, 
14.0, 0.0, 6002.0, 42.250, 38.729, 39.820, 
14.0, 0.0, 6006.0, 42.250, 38.800, 39.800, 
