Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 11451.0021667, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 26.6700, 
0:0:0, 12355.0023498, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 26.6700, 
0:0:0, 13259.0024566, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 14162.0026931, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 26.6700, 
0:0:0, 15066.0029296, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 26.8301, 
0:0:0, 15969.0029907, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 26.6700, 
0:0:0, 16877.0029907, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.8963, 
0:0:0, 17781.003479, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.7643, 26.6700, 
0:0:0, 19532.0039367, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.7643, 26.6700, 
0:0:0, 20435.0039367, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.7643, 26.8963, 
0:0:0, 21339.0041198, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 22248.0042877, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 23149.0044021, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 24052.0046386, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 24952.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 26414.0049133, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -404.2500305, 0, 0, 0, 0, 9.8898, 26.6700, 
0:0:0, 26966.0049438, 0, 0.0, 0, 34.35606, 137.088005, 0, 0, 0, 253.0500183, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 28402.0054016, 0, 0.0, 0, 45.6746482, 137.088005, 0, 0, 0, 47.2499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 29009.0058593, 0, 0.0, 0, 51.2598762, 137.088005, 0, 0, 0, 60.9000014, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 30096.0058593, 0, 0.0, 0, 57.9606322, 137.088005, 0, 0, 0, 39.9000014, 0, 0, 0, 0, 9.7643, 26.8963, 
0:0:0, 31052.0060424, 0, 0.0, 0, 65.4339675, 137.088005, 0, 0, 0, 47.2499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 31928.0061035, 0, 0.0, 0, 70.4063186, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 9.8080, 26.8301, 
0:0:0, 32796.0062866, 0, 0.0, 0, 68.6970596, 137.088005, 0, 0, 0, -12.6000003, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 34146.0065994, 0, 0.0, 0, 65.6302261, 137.088005, 0, 0, 0, -13.6499995, 0, 0, 0, 0, 9.8080, 26.8963, 
0:0:0, 35078.0068359, 0, 0.0, 0, 63.9485435, 137.088005, 0, 0, 0, -13.6499995, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 36038.0068359, 0, 0.0, 0, 62.0834693, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8898, 26.6700, 
0:0:0, 36993.0068969, 0, 0.0, 0, 64.7829361, 137.088005, 0, 0, 0, 33.5999984, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 37879.0073852, 0, 0.0, 0, 70.0498733, 137.088005, 0, 0, 0, 40.9500007, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 39085.0078124, 0, 0.0, 0, 78.8613433, 137.088005, 0, 0, 0, 56.7000007, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 39838.0078735, 0, 0.0, 0, 78.9821548, 137.088005, 0, 0, 0, -22.0499992, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 41011.0079956, 0, 0.0, 0, 75.9903869, 137.088005, 0, 0, 0, -11.5500001, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 41817.0080566, 0, 0.0, 0, 73.9477996, 137.088005, 0, 0, 0, -14.6999997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 43065.0083007, 0, 0.0, 0, 71.1786498, 137.088005, 0, 0, 0, -14.6999997, 0, 0, 0, 0, 9.8080, 26.6700, 
