Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
0:0:0, 18951.003479, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.798, 
0:0:0, 19851.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 24.9218, 
0:0:0, 19906.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 20806.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 24.9218, 
0:0:0, 20855.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 21756.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.798, 
0:0:0, 21806.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 22712.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 25.798, 
0:0:0, 22761.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8457, 24.9218, 
0:0:0, 23662.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 23711.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.798, 
0:0:0, 24612.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 24662.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 25.798, 
0:0:0, 25568.0049133, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 25617.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 26519.0049133, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 26569.0049133, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.1529, 
0:0:0, 27469.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 25.1529, 
0:0:0, 27518.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8457, 24.9218, 
0:0:0, 28426.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 28475.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.798, 
0:0:0, 29302.0058898, 0, 0.0, 0, 26.775423, 137.088005, 0, 0, 0, 204.7500152, 0, 0, 0, 0, 9.8080, 25.3105, 
0:0:0, 29359.0058898, 0, 0.0, 0, 26.775423, 137.088005, 0, 0, 0, 204.7500152, 0, 0, 0, 0, 9.8080, 25.3105, 
0:0:0, 30246.0058746, 0, 0.0, 0, 33.3029518, 137.088005, 0, 0, 0, 46.2000007, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 30309.0058898, 0, 0.0, 0, 33.3029518, 137.088005, 0, 0, 0, 46.2000007, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 31041.0060424, 0, 0.0, 0, 40.1525649, 137.088005, 0, 0, 0, 57.75, 0, 0, 0, 0, 9.8898, 25.798, 
0:0:0, 31735.0061035, 0, 0.0, 0, 44.5489997, 137.088005, 0, 0, 0, 42, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 31790.0061035, 0, 0.0, 0, 44.5489997, 137.088005, 0, 0, 0, 42, 0, 0, 0, 0, 9.8080, 24.9218, 
0:0:0, 32376.0062561, 0, 0.0, 0, 48.0473365, 137.088005, 0, 0, 0, 36.75, 0, 0, 0, 0, 9.8080, 24.9218, 
