Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 10674.0020141, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -229.9500121, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 11579.0021667, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 11632.0021972, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 12535.0023498, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 12589.0023498, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 13492.0024719, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 13550.0024719, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 14454.002716, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 14508.002716, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 15410.0029602, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 15463.0029602, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 16372.0029602, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 16425.0029602, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 17329.0034484, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 17382.0034484, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 18286.0034332, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 18344.0034484, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 19180.0039138, 0, 0.0, 0, 19.250246, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 19236.0039215, 0, 0.0, 0, 19.250246, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 20144.0039138, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 3013.5004882, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 20198.0039138, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 3013.5004882, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 20954.0039672, 0, 0.0, 0, 28.6795272, 137.088005, 0, 0, 0, -1687.3502197, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 21013.0040893, 0, 0.0, 0, 28.6795272, 137.088005, 0, 0, 0, -1687.3502197, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 21911.0041503, 0, 0.0, 0, 32.0286941, 137.088005, 0, 0, 0, 46.2000007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 21968.0041503, 0, 0.0, 0, 32.0286941, 137.088005, 0, 0, 0, 46.2000007, 0, 0, 0, 0, 0.0, 28.7680, 
