Gear,Sproket,RPM,Speed (km/hr),RPM,Speed (km/hr),Ratio,Wheell Circum,,,,,,,,,,,,,
1,38,30,1087.2,109,3950.0,5.302631579,1.93,,,,,,,,,,,,,
2,30,86.1,3950.0,108,4957.5,6.716666667,,,,,,,,,,,,,,
3,23,82.8,4957.5,107,6406.4,8.760869565,,,,,,,,,,,,,,
4,20,93.0,6406.4,106,7298.5,10.075,,,,,,,,,,,,,,
5,18,95.4,7298.5,105,8032.9,11.19444444,,,,,,,,,,,,,,
6,16,93.3,8032.9,94,8090.3,12.59375,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),,Gear,CalcSpeed, GPS Speed (km/h)
0:00:00,7712.001526,0,0,0,0,0,0,0,0,0,0,0,0,0,9.808,25.3964, ,1,0,0
16:14:09,8212.00148,4182,0,1.7639999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.611176,0,9.808,25.3964, ,1,0,1.7639999
16:14:09,8630.001526,4182,0,1.3319998,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.562225,0,9.7263,25.238, ,1,0,1.3319998
16:14:09,8870.001526,4182,0,1.3319998,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.562225,0,9.7263,25.238, ,1,0,1.3319998
16:14:10,9211.001968,4182,0,1.3319998,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.562225,0,9.808,25.3964, ,1,0,1.3319998
16:14:10,9630.002014,4182,0,1.0799999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.504242,0,9.808,25.238, ,1,0,1.0799999
16:14:10,9869.002014,4182,0,1.0799999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.504242,0,9.7643,25.3964, ,1,0,1.0799999
16:14:11,10630.00201,4182,0,0.6839999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.403168,0,9.7643,25.3964, ,1,0,0.6839999
16:14:12,11311.00217,4182,0,1.1519999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.272186,0,9.808,25.555, ,1,0,1.1519999
16:14:12,11630.0022,4182,0,0.9719998,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.233246,0,9.808,25.3964, ,1,0,0.9719998
