Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
0.0, 0.0, 0.0, 25.0, 25.549, 24.910, 
0.0, 0.0, 0.0, 25.0, 25.489, 24.950, 
1.0, 0.0, 0.0, 25.0, 25.509, 24.910, 
1.0, 0.0, 0.0, 25.0, 25.559, 24.960, 
1.0, 0.0, 0.0, 25.0, 25.509, 24.930, 
2.0, 0.0, 0.0, 25.0, 25.580, 24.960, 
2.0, 0.0, 5000.0, 25.0, 25.509, 24.960, 
3.0, 0.0, 702.0, 25.0, 25.579, 25.20, 
3.0, 0.0, 702.0, 25.0, 25.539, 24.970, 
4.0, 0.0, 702.0, 25.0, 25.449, 24.980, 
4.0, 0.0, 702.0, 25.125, 25.479, 25.0, 
4.0, 0.0, 682.0, 25.125, 25.479, 24.989, 
5.0, 0.0, 662.0, 25.0, 25.479, 25.80, 
5.0, 0.0, 662.0, 25.0, 25.539, 24.989, 
5.0, 0.0, 662.0, 25.0, 25.569, 24.979, 
6.0, 0.0, 662.0, 25.0, 25.539, 24.990, 
6.0, 0.0, 662.0, 25.250, 25.519, 24.979, 
7.0, 0.0, 657.0, 25.125, 25.479, 24.979, 
7.0, 0.0, 657.0, 25.125, 25.459, 24.970, 
7.0, 0.0, 657.0, 25.0, 25.500, 25.9, 
8.0, 0.0, 657.0, 25.125, 25.479, 24.970, 
8.0, 0.0, 657.0, 25.125, 25.519, 25.29, 
8.0, 0.0, 636.500, 25.250, 25.529, 25.29, 
9.0, 0.0, 616.0, 25.250, 25.559, 24.990, 
9.0, 0.0, 616.0, 25.250, 25.509, 25.29, 
9.0, 0.0, 616.0, 25.125, 25.509, 25.29, 
10.0, 0.0, 616.0, 25.250, 25.509, 25.39, 
10.0, 0.0, 5308.0, 25.250, 25.599, 25.80, 
11.0, 0.0, 618.0, 25.250, 25.559, 25.29, 
11.0, 0.0, 618.0, 25.250, 25.580, 25.50, 
12.0, 0.0, 618.0, 25.250, 25.569, 25.20, 
12.0, 0.0, 618.0, 25.250, 25.630, 25.59, 
12.0, 0.0, 618.0, 25.250, 25.549, 25.49, 
13.0, 0.0, 617.0, 25.250, 25.489, 25.29, 
13.0, 0.0, 617.0, 25.250, 25.589, 25.59, 
13.0, 0.0, 617.0, 25.250, 25.509, 25.29, 
14.0, 0.0, 617.0, 25.250, 25.449, 25.29, 
14.0, 0.0, 617.0, 25.250, 25.539, 25.50, 
14.0, 0.0, 10000.0, 25.250, 25.529, 25.49, 
15.0, 0.0, 614.0, 25.125, 25.509, 25.39, 
15.0, 0.0, 614.0, 25.250, 25.579, 25.50, 
16.0, 0.0, 614.0, 25.250, 25.579, 25.70, 
16.0, 0.0, 614.0, 25.250, 25.579, 25.89, 
16.0, 0.0, 612.500, 25.250, 25.500, 25.89, 
17.0, 0.0, 611.0, 25.250, 25.429, 25.59, 
17.0, 0.0, 611.0, 25.250, 25.449, 25.80, 
17.0, 0.0, 611.0, 25.250, 25.529, 25.89, 
18.0, 0.0, 611.0, 25.250, 25.559, 25.70, 
18.0, 0.0, 611.0, 25.250, 25.500, 25.89, 
19.0, 0.0, 607.0, 25.250, 25.429, 25.70, 
19.0, 0.0, 607.0, 25.250, 25.539, 25.79, 
19.0, 0.0, 607.0, 25.250, 25.539, 25.70, 
20.0, 0.0, 607.0, 25.250, 25.599, 25.80, 
20.0, 0.0, 607.0, 25.250, 25.559, 25.69, 
20.0, 0.0, 605.0, 25.250, 25.619, 25.99, 
21.0, 0.0, 603.0, 25.250, 25.529, 25.100, 
21.0, 0.0, 603.0, 25.250, 25.599, 25.89, 
21.0, 0.0, 603.0, 25.250, 25.509, 25.59, 
22.0, 0.0, 603.0, 25.250, 25.500, 25.89, 
22.0, 0.0, 603.0, 25.250, 25.529, 25.89, 
23.0, 0.0, 603.0, 25.250, 25.529, 25.80, 
23.0, 0.0, 603.0, 25.250, 25.500, 25.130, 
23.0, 0.0, 603.0, 25.250, 25.470, 25.119, 
24.0, 0.0, 603.0, 25.250, 25.519, 25.110, 
24.0, 0.0, 603.0, 25.250, 25.539, 25.110, 
24.0, 0.0, 603.0, 25.250, 25.549, 25.99, 
25.0, 0.0, 603.0, 25.250, 25.459, 25.119, 
25.0, 0.0, 603.0, 25.250, 25.470, 25.100, 
25.0, 0.0, 603.0, 25.250, 25.509, 25.109, 
26.0, 0.0, 603.0, 25.250, 25.529, 25.99, 
26.0, 0.0, 5301.500, 25.250, 25.470, 25.110, 
27.0, 0.0, 605.0, 25.250, 25.529, 25.139, 
