Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 504 Hz. 
0:0:0, 7712.0015258, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.3964, 
16:14:9, 8212.0014801, 4182, 0.0, 1.7639999, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.6111755, 0, 9.8080, 25.3964, 
16:14:9, 8630.0015258, 4182, 0.0, 1.3319998, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.5622253, 0, 9.7263, 25.2380, 
16:14:9, 8870.0015258, 4182, 0.0, 1.3319998, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.5622253, 0, 9.7263, 25.2380, 
16:14:10, 9211.0019683, 4182, 0.0, 1.3319998, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.5622253, 0, 9.8080, 25.3964, 
16:14:10, 9630.0020141, 4182, 0.0, 1.0799999, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.5042419, 0, 9.8080, 25.2380, 
16:14:10, 9869.0020141, 4182, 0.0, 1.0799999, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.5042419, 0, 9.7643, 25.3964, 
16:14:11, 10630.0020141, 4182, 0.0, 0.6839999, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.4031677, 0, 9.7643, 25.3964, 
16:14:12, 11311.0021667, 4182, 0.0, 1.1519999, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.2721862, 0, 9.8080, 25.5550, 
16:14:12, 11630.0021972, 4182, 0.0, 0.9719998, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.2332458, 0, 9.8080, 25.3964, 
16:14:12, 11871.0021972, 4182, 0.0, 0.9719998, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.2332458, 0, 9.7643, 25.6262, 
16:14:13, 12207.0023345, 4182, 0.0, 1.3679998, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.2912292, 0, 9.7263, 25.3964, 
16:14:13, 12631.0023803, 4182, 0.0, 1.1519999, 0, 101.9880065, 0, 0, 0, 0, 40.4302864, -117.0529632, 1428.2511901, 0, 9.7643, 25.6262, 
16:14:14, 13207.0024566, 4182, 0.0, 1.5839998, 0, 102.024002, 0, 0, 0, 0, 40.4302902, -117.0529632, 1427.8771667, 0, 9.6829, 25.3964, 
16:14:14, 13630.0025024, 4182, 0.0, 1.0079998, 0, 102.024002, 0, 0, 0, 0, 40.4302902, -117.0529632, 1427.7802429, 0, 9.8080, 25.3964, 
16:14:14, 13870.0025024, 4182, 0.0, 1.0079998, 0, 102.024002, 0, 0, 0, 0, 40.4302902, -117.0529632, 1427.7802429, 0, 9.7643, 25.6262, 
