Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
0.0, 0.0, 0.0, 16.500, 16.509, 15.949, 
0.0, 0.0, 0.0, 16.500, 16.470, 15.820, 
1.0, 0.0, 0.0, 16.500, 16.500, 15.899, 
1.0, 0.0, 0.0, 16.500, 16.419, 15.870, 
1.0, 0.0, 0.0, 16.500, 16.559, 15.949, 
2.0, 0.0, 0.0, 16.500, 16.479, 15.850, 
2.0, 0.0, 369.500, 16.500, 16.479, 15.970, 
3.0, 0.0, 739.0, 16.500, 16.449, 15.869, 
3.0, 0.0, 739.0, 16.625, 16.419, 15.880, 
3.0, 0.0, 739.0, 16.625, 16.600, 15.880, 
4.0, 0.0, 739.0, 16.500, 16.410, 15.850, 
4.0, 0.0, 739.0, 16.500, 16.509, 15.880, 
4.0, 0.0, 772.0, 16.500, 16.410, 15.919, 
5.0, 0.0, 772.0, 16.500, 16.509, 15.900, 
5.0, 0.0, 772.0, 16.625, 16.459, 15.919, 
5.0, 0.0, 772.0, 16.750, 16.429, 15.910, 
6.0, 0.0, 772.0, 16.500, 16.479, 16.39, 
6.0, 0.0, 816.500, 16.625, 16.639, 15.880, 
7.0, 0.0, 861.0, 16.625, 16.479, 15.880, 
7.0, 0.0, 861.0, 16.500, 16.479, 15.900, 
7.0, 0.0, 861.0, 16.625, 16.500, 15.910, 
8.0, 0.0, 861.0, 16.750, 16.479, 15.950, 
8.0, 0.0, 861.0, 16.500, 16.449, 15.920, 
8.0, 0.0, 1038.0, 16.625, 16.500, 15.940, 
9.0, 0.0, 1038.0, 16.625, 16.410, 15.949, 
9.0, 0.0, 1038.0, 16.500, 16.489, 15.960, 
9.0, 0.0, 1038.0, 16.625, 16.399, 15.919, 
10.0, 0.0, 1038.0, 16.625, 16.479, 15.910, 
10.0, 0.0, 1042.500, 16.500, 16.449, 15.919, 
11.0, 0.0, 1047.0, 16.625, 16.449, 15.930, 
11.0, 0.0, 1047.0, 16.625, 16.470, 15.950, 
11.0, 0.0, 1047.0, 16.750, 16.449, 15.940, 
12.0, 0.0, 1047.0, 16.500, 16.529, 15.970, 
12.0, 0.0, 1047.0, 16.750, 16.529, 15.979, 
12.0, 0.0, 1082.0, 16.625, 16.509, 15.960, 
13.0, 0.0, 1082.0, 16.625, 16.550, 15.959, 
13.0, 0.0, 1082.0, 16.750, 16.500, 15.950, 
13.0, 0.0, 1082.0, 16.750, 16.550, 16.9, 
14.0, 0.0, 1082.0, 16.750, 16.539, 16.9, 
14.0, 0.0, 1117.500, 16.750, 16.529, 15.979, 
15.0, 0.0, 1153.0, 16.750, 16.449, 15.950, 
15.0, 0.0, 1153.0, 16.750, 16.479, 15.940, 
15.0, 0.0, 1153.0, 16.750, 16.479, 16.9, 
16.0, 0.0, 1153.0, 16.750, 16.550, 16.9, 
16.0, 0.0, 1153.0, 16.750, 16.569, 16.9, 
16.0, 0.0, 1204.0, 16.750, 16.570, 15.989, 
17.0, 0.0, 1204.0, 16.500, 16.529, 15.979, 
17.0, 0.0, 1204.0, 16.625, 16.550, 16.29, 
17.0, 0.0, 1204.0, 16.750, 16.430, 15.989, 
18.0, 0.0, 1204.0, 16.625, 16.479, 16.19, 
18.0, 0.0, 1224.500, 16.750, 16.489, 16.19, 
19.0, 0.0, 1245.0, 16.625, 16.449, 16.9, 
19.0, 0.0, 1245.0, 16.750, 16.550, 16.49, 
19.0, 0.0, 1245.0, 16.625, 16.529, 16.39, 
20.0, 0.0, 1245.0, 16.750, 16.529, 15.989, 
20.0, 0.0, 1245.0, 16.625, 16.559, 16.29, 
20.0, 0.0, 1289.0, 16.750, 16.500, 16.39, 
21.0, 0.0, 1289.0, 16.750, 16.520, 16.50, 
21.0, 0.0, 1289.0, 16.625, 16.559, 16.50, 
21.0, 0.0, 1289.0, 16.750, 16.580, 16.59, 
22.0, 0.0, 1289.0, 16.750, 16.520, 16.59, 
22.0, 0.0, 1315.0, 16.625, 16.470, 16.69, 
23.0, 0.0, 1341.0, 16.750, 16.550, 16.69, 
23.0, 0.0, 1341.0, 16.750, 16.529, 16.80, 
23.0, 0.0, 1341.0, 16.750, 16.699, 16.80, 
24.0, 0.0, 1341.0, 16.750, 16.580, 16.59, 
24.0, 0.0, 1341.0, 16.625, 16.550, 16.70, 
24.0, 0.0, 1386.0, 16.750, 16.509, 16.79, 
25.0, 0.0, 1386.0, 16.750, 16.539, 16.59, 
25.0, 0.0, 1386.0, 16.750, 16.509, 16.69, 
26.0, 0.0, 1386.0, 16.750, 16.509, 16.89, 
26.0, 0.0, 1386.0, 16.750, 16.539, 16.89, 
26.0, 0.0, 1389.500, 16.750, 16.550, 16.119, 
27.0, 0.0, 1393.0, 16.750, 16.550, 16.89, 
27.0, 0.0, 1393.0, 16.750, 16.699, 16.260, 
27.0, 0.0, 1393.0, 16.750, 16.610, 16.119, 
28.0, 0.0, 1393.0, 16.750, 16.529, 16.110, 
28.0, 0.0, 5696.500, 16.750, 16.529, 16.99, 
29.0, 0.0, 1391.0, 16.750, 16.580, 16.139, 
29.0, 0.0, 1391.0, 16.750, 16.580, 16.179, 
29.0, 0.0, 1391.0, 16.750, 16.630, 16.139, 
30.0, 0.0, 1391.0, 16.625, 16.600, 16.129, 
30.0, 0.0, 1389.500, 16.750, 16.570, 16.130, 
31.0, 0.0, 1388.0, 16.750, 16.559, 16.99, 
31.0, 0.0, 1388.0, 16.750, 16.580, 16.139, 
