Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
0.0, 0.0, 0.0, 20.750, 19.570, 19.759, 
0.0, 0.0, 0.0, 20.750, 19.570, 19.939, 
1.0, 0.0, 0.0, 20.750, 19.510, 19.779, 
1.0, 0.0, 0.0, 20.750, 19.559, 19.919, 
1.0, 0.0, 0.0, 20.750, 19.529, 19.819, 
2.0, 0.0, 0.0, 20.750, 19.570, 19.790, 
2.0, 0.0, 10000.0, 20.750, 19.570, 19.850, 
3.0, 0.0, 539.0, 20.750, 19.490, 19.809, 
3.0, 0.0, 539.0, 20.750, 19.579, 19.809, 
3.0, 0.0, 539.0, 20.750, 19.520, 19.839, 
4.0, 0.0, 539.0, 20.750, 19.520, 19.819, 
4.0, 0.0, 543.0, 20.750, 19.579, 19.819, 
5.0, 0.0, 547.0, 20.750, 19.579, 19.829, 
5.0, 0.0, 547.0, 20.750, 19.490, 19.829, 
5.0, 0.0, 547.0, 20.750, 19.570, 19.809, 
6.0, 0.0, 547.0, 20.750, 19.710, 19.829, 
6.0, 0.0, 547.0, 20.750, 19.650, 19.860, 
6.0, 0.0, 530.0, 20.750, 19.600, 19.849, 
7.0, 0.0, 530.0, 20.750, 19.520, 19.839, 
7.0, 0.0, 530.0, 20.750, 19.619, 19.880, 
7.0, 0.0, 530.0, 20.750, 19.619, 19.899, 
8.0, 0.0, 530.0, 20.750, 19.600, 19.839, 
8.0, 0.0, 526.0, 20.750, 19.600, 19.880, 
9.0, 0.0, 522.0, 20.750, 19.619, 19.880, 
9.0, 0.0, 522.0, 20.750, 19.659, 19.920, 
9.0, 0.0, 522.0, 20.750, 19.659, 19.910, 
10.0, 0.0, 522.0, 20.750, 19.510, 19.880, 
10.0, 0.0, 5261.0, 20.750, 19.559, 19.860, 
11.0, 0.0, 525.0, 20.750, 19.589, 19.890, 
11.0, 0.0, 525.0, 20.750, 19.600, 19.870, 
11.0, 0.0, 525.0, 20.750, 19.589, 19.910, 
12.0, 0.0, 525.0, 20.750, 19.579, 19.910, 
12.0, 0.0, 10000.0, 20.750, 19.609, 19.890, 
13.0, 0.0, 527.0, 20.750, 19.589, 19.920, 
13.0, 0.0, 527.0, 20.750, 19.559, 19.910, 
13.0, 0.0, 527.0, 20.750, 19.600, 19.869, 
14.0, 0.0, 527.0, 20.750, 19.549, 19.910, 
14.0, 0.0, 528.0, 20.750, 19.639, 19.910, 
15.0, 0.0, 529.0, 20.750, 19.609, 19.910, 
15.0, 0.0, 529.0, 20.750, 19.559, 19.930, 
15.0, 0.0, 529.0, 20.750, 19.639, 19.949, 
16.0, 0.0, 529.0, 20.750, 19.520, 19.920, 
16.0, 0.0, 5264.500, 20.750, 19.619, 19.960, 
17.0, 0.0, 531.0, 20.750, 19.619, 19.960, 
17.0, 0.0, 531.0, 20.750, 19.720, 19.949, 
17.0, 0.0, 531.0, 20.750, 19.619, 19.950, 
18.0, 0.0, 531.0, 20.750, 19.620, 19.950, 
18.0, 0.0, 531.0, 20.750, 19.539, 19.970, 
19.0, 0.0, 531.0, 20.750, 19.709, 20.80, 
19.0, 0.0, 531.0, 20.750, 19.670, 19.960, 
19.0, 0.0, 531.0, 20.750, 19.510, 20.100, 
20.0, 0.0, 531.0, 20.750, 19.579, 19.960, 
20.0, 0.0, 531.0, 20.750, 19.529, 19.960, 
20.0, 0.0, 530.0, 20.750, 19.570, 20.110, 
21.0, 0.0, 530.0, 20.750, 19.579, 20.100, 
21.0, 0.0, 530.0, 20.750, 19.659, 20.70, 
21.0, 0.0, 530.0, 20.750, 19.559, 20.49, 
22.0, 0.0, 530.0, 20.750, 19.490, 20.70, 
22.0, 0.0, 532.500, 20.750, 19.639, 20.9, 
23.0, 0.0, 535.0, 20.750, 19.650, 20.80, 
23.0, 0.0, 535.0, 20.750, 19.659, 19.989, 
23.0, 0.0, 535.0, 20.750, 19.610, 20.0, 
24.0, 0.0, 535.0, 20.750, 19.509, 20.110, 
24.0, 0.0, 535.0, 20.750, 19.510, 20.89, 
24.0, 0.0, 538.0, 20.750, 19.589, 20.20, 
25.0, 0.0, 538.0, 20.750, 19.549, 20.110, 
25.0, 0.0, 538.0, 20.750, 19.509, 20.130, 
25.0, 0.0, 538.0, 20.750, 19.669, 20.29, 
26.0, 0.0, 538.0, 20.750, 19.580, 20.0, 
26.0, 0.0, 538.500, 20.750, 19.510, 20.9, 
27.0, 0.0, 539.0, 20.750, 19.440, 20.29, 
27.0, 0.0, 539.0, 20.750, 19.610, 20.110, 
27.0, 0.0, 539.0, 20.750, 19.460, 20.9, 
28.0, 0.0, 539.0, 20.750, 19.730, 20.19, 
28.0, 0.0, 5269.500, 20.750, 19.510, 20.139, 
29.0, 0.0, 539.0, 20.750, 19.570, 20.29, 
29.0, 0.0, 539.0, 20.750, 19.560, 20.49, 
29.0, 0.0, 539.0, 20.750, 19.639, 20.50, 
30.0, 0.0, 539.0, 20.750, 19.540, 20.29, 
30.0, 0.0, 539.0, 20.750, 19.570, 20.29, 
30.0, 0.0, 537.0, 20.750, 19.540, 20.59, 
31.0, 0.0, 537.0, 20.750, 19.699, 20.39, 
31.0, 0.0, 537.0, 20.750, 19.500, 20.49, 
32.0, 0.0, 537.0, 20.750, 19.639, 20.39, 
32.0, 0.0, 537.0, 20.750, 19.460, 20.39, 
32.0, 0.0, 10000.0, 20.750, 19.549, 20.230, 
33.0, 0.0, 535.0, 20.875, 19.460, 20.39, 
33.0, 0.0, 535.0, 20.750, 19.490, 20.50, 
33.0, 0.0, 535.0, 20.750, 19.440, 20.49, 
34.0, 0.0, 535.0, 20.750, 19.450, 20.59, 
34.0, 0.0, 534.0, 20.750, 19.589, 20.169, 
35.0, 0.0, 533.0, 20.750, 19.430, 20.59, 
35.0, 0.0, 533.0, 20.750, 19.400, 20.49, 
35.0, 0.0, 533.0, 20.750, 19.540, 20.59, 
36.0, 0.0, 533.0, 20.750, 19.500, 20.180, 
