Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 515 Hz. 
0:0:0, 6845.0010375, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.9715, 20.895, 
1:39:36, 7345.0014953, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.3365, 
1:39:36, 7757.0015258, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.3365, 
1:39:36, 7982.0015258, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:37, 8343.0014953, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:37, 8856.0015258, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8457, 20.895, 
1:39:37, 8985.0015258, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:38, 9342.0019836, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:38, 9757.0020141, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.3365, 
1:39:38, 9991.0020141, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8457, 20.895, 
1:39:39, 10340.0019836, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.9715, 20.895, 
1:39:39, 10757.0020141, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:40, 11757.0021972, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8457, 20.3365, 
1:39:40, 11982.0021972, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:41, 12340.0023498, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:41, 12758.0023803, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:42, 13757.0025024, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.2438, 
1:39:42, 13981.0025024, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8457, 20.895, 
1:39:43, 14338.002716, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:43, 14757.0027465, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:43, 14986.0027465, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:44, 15757.0029907, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8080, 20.895, 
1:39:45, 16335.0029602, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8080, 20.895, 
1:39:45, 16757.0029907, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:45, 16982.0029907, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:46, 17334.0034484, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.895, 
1:39:46, 17757.003479, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8080, 20.895, 
1:39:47, 18334.0034484, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8898, 20.3365, 
1:39:47, 18757.003479, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8457, 20.895, 
1:39:47, 18998.003479, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8080, 20.3365, 
1:39:48, 19333.0039367, 12525, 0.0, 0, 0, 16.9919986, 0, 0, 0, 0, 0, 0, -16.9969997, 0, 9.8080, 19.9352, 
