Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
0.0, 0.0, 0.0, 13.0, 12.700, 12.190, 
0.0, 0.0, 0.0, 13.0, 12.839, 12.229, 
1.0, 0.0, 0.0, 13.0, 12.680, 12.220, 
1.0, 0.0, 0.0, 13.0, 12.690, 12.220, 
1.0, 0.0, 0.0, 13.0, 12.720, 12.289, 
2.0, 0.0, 0.0, 13.0, 12.720, 12.250, 
2.0, 0.0, 219.0, 13.0, 12.700, 12.360, 
3.0, 0.0, 438.0, 13.0, 12.669, 12.240, 
3.0, 0.0, 438.0, 12.875, 12.669, 12.259, 
3.0, 0.0, 438.0, 13.0, 12.770, 12.349, 
4.0, 0.0, 438.0, 13.0, 12.689, 12.350, 
4.0, 0.0, 438.0, 13.0, 12.680, 12.250, 
4.0, 0.0, 424.0, 13.0, 12.800, 12.369, 
5.0, 0.0, 424.0, 13.0, 12.720, 12.279, 
5.0, 0.0, 424.0, 13.0, 12.670, 12.279, 
5.0, 0.0, 424.0, 13.0, 12.739, 12.269, 
6.0, 0.0, 424.0, 13.0, 12.739, 12.279, 
6.0, 0.0, 426.500, 13.0, 12.600, 12.260, 
7.0, 0.0, 429.0, 13.0, 12.709, 12.290, 
7.0, 0.0, 429.0, 13.0, 12.819, 12.279, 
7.0, 0.0, 429.0, 13.0, 12.809, 12.360, 
8.0, 0.0, 429.0, 13.0, 12.799, 12.279, 
8.0, 0.0, 5214.500, 13.0, 12.720, 12.389, 
9.0, 0.0, 414.0, 13.0, 12.720, 12.309, 
9.0, 0.0, 414.0, 13.0, 12.700, 12.380, 
9.0, 0.0, 414.0, 13.0, 12.759, 12.279, 
10.0, 0.0, 414.0, 13.0, 12.860, 12.429, 
10.0, 0.0, 10000.0, 13.0, 12.970, 12.329, 
11.0, 0.0, 415.0, 13.0, 12.850, 12.429, 
11.0, 0.0, 415.0, 13.0, 12.759, 12.300, 
11.0, 0.0, 415.0, 13.0, 12.709, 12.279, 
12.0, 0.0, 415.0, 13.0, 12.770, 12.319, 
12.0, 0.0, 10000.0, 13.0, 12.829, 12.329, 
13.0, 0.0, 414.0, 13.0, 12.770, 12.319, 
13.0, 0.0, 414.0, 13.0, 12.789, 12.329, 
13.0, 0.0, 414.0, 13.0, 12.739, 12.319, 
14.0, 0.0, 414.0, 13.0, 12.699, 12.329, 
14.0, 0.0, 414.0, 13.0, 12.789, 12.329, 
15.0, 0.0, 414.0, 13.0, 12.750, 12.369, 
15.0, 0.0, 414.0, 13.0, 12.789, 12.390, 
15.0, 0.0, 414.0, 13.0, 12.789, 12.349, 
16.0, 0.0, 414.0, 13.0, 12.860, 12.349, 
16.0, 0.0, 5207.0, 13.0, 12.789, 12.319, 
17.0, 0.0, 413.0, 13.0, 12.750, 12.390, 
17.0, 0.0, 413.0, 13.0, 12.809, 12.390, 
17.0, 0.0, 413.0, 13.0, 12.730, 12.349, 
18.0, 0.0, 413.0, 13.0, 12.779, 12.419, 
18.0, 0.0, 10000.0, 13.0, 12.730, 12.369, 
19.0, 0.0, 412.0, 13.0, 12.779, 12.400, 
19.0, 0.0, 412.0, 13.0, 12.789, 12.389, 
19.0, 0.0, 412.0, 13.0, 12.759, 12.410, 
20.0, 0.0, 412.0, 13.0, 12.770, 12.389, 
20.0, 0.0, 10000.0, 13.0, 12.829, 12.410, 
21.0, 0.0, 412.0, 13.0, 12.809, 12.410, 
21.0, 0.0, 412.0, 13.250, 12.739, 12.419, 
21.0, 0.0, 412.0, 13.0, 12.819, 12.440, 
22.0, 0.0, 412.0, 13.0, 12.789, 12.449, 
22.0, 0.0, 10000.0, 13.0, 12.769, 12.470, 
23.0, 0.0, 410.0, 13.125, 12.779, 12.440, 
23.0, 0.0, 410.0, 13.250, 12.690, 12.410, 
23.0, 0.0, 410.0, 13.0, 12.809, 12.410, 
24.0, 0.0, 410.0, 13.125, 12.750, 12.410, 
24.0, 0.0, 10000.0, 13.250, 12.829, 12.489, 
25.0, 0.0, 408.0, 13.0, 12.819, 12.440, 
25.0, 0.0, 408.0, 13.125, 12.750, 12.430, 
25.0, 0.0, 408.0, 13.0, 12.799, 12.470, 
26.0, 0.0, 408.0, 13.0, 12.769, 12.430, 
26.0, 0.0, 408.0, 13.0, 12.769, 12.450, 
26.0, 0.0, 407.0, 13.0, 12.750, 12.440, 
27.0, 0.0, 407.0, 13.0, 12.789, 12.470, 
27.0, 0.0, 407.0, 13.0, 12.829, 12.450, 
28.0, 0.0, 407.0, 13.125, 12.789, 12.470, 
28.0, 0.0, 407.0, 13.0, 12.809, 12.470, 
28.0, 0.0, 406.0, 13.0, 12.779, 12.470, 
29.0, 0.0, 405.0, 13.125, 12.790, 12.490, 
29.0, 0.0, 405.0, 13.125, 12.770, 12.449, 
29.0, 0.0, 405.0, 13.0, 12.770, 12.479, 
30.0, 0.0, 405.0, 13.125, 12.819, 12.440, 
30.0, 0.0, 405.0, 13.125, 12.819, 12.450, 
30.0, 0.0, 404.0, 13.0, 12.829, 12.479, 
31.0, 0.0, 404.0, 13.0, 12.799, 12.460, 
31.0, 0.0, 404.0, 13.0, 12.779, 12.490, 
32.0, 0.0, 404.0, 13.0, 12.840, 12.480, 
32.0, 0.0, 404.0, 13.0, 12.839, 12.470, 
32.0, 0.0, 10000.0, 13.250, 12.769, 12.450, 
33.0, 0.0, 402.0, 13.0, 12.819, 12.509, 
33.0, 0.0, 402.0, 13.0, 12.819, 12.509, 
33.0, 0.0, 402.0, 13.125, 12.819, 12.509, 
34.0, 0.0, 402.0, 13.250, 12.819, 12.509, 
34.0, 0.0, 10000.0, 13.0, 12.950, 12.769, 
35.0, 0.0, 401.0, 13.0, 12.720, 12.500, 
35.0, 0.0, 401.0, 13.0, 12.830, 12.509, 
35.0, 0.0, 401.0, 13.0, 12.800, 12.520, 
36.0, 0.0, 401.0, 13.0, 12.899, 12.509, 
36.0, 0.0, 400.500, 13.0, 12.769, 12.539, 
37.0, 0.0, 400.0, 13.0, 12.809, 12.610, 
37.0, 0.0, 400.0, 13.125, 12.929, 12.520, 
37.0, 0.0, 400.0, 13.125, 12.799, 12.509, 
38.0, 0.0, 400.0, 13.125, 12.770, 12.459, 
38.0, 0.0, 400.0, 13.125, 12.809, 12.639, 
38.0, 0.0, 398.0, 13.125, 12.769, 12.500, 
39.0, 0.0, 398.0, 13.125, 12.700, 12.529, 
39.0, 0.0, 398.0, 13.125, 12.770, 12.529, 
40.0, 0.0, 398.0, 13.0, 12.839, 12.630, 
40.0, 0.0, 398.0, 13.0, 12.929, 12.649, 
40.0, 0.0, 397.0, 13.125, 12.750, 12.639, 
41.0, 0.0, 396.0, 13.0, 12.739, 12.519, 
41.0, 0.0, 396.0, 13.250, 12.899, 12.639, 
41.0, 0.0, 396.0, 13.0, 12.839, 12.699, 
42.0, 0.0, 396.0, 13.0, 12.669, 12.559, 
42.0, 0.0, 396.0, 13.250, 12.799, 12.550, 
43.0, 0.0, 396.0, 13.0, 12.690, 12.659, 
43.0, 0.0, 396.0, 13.0, 12.790, 12.559, 
43.0, 0.0, 396.0, 13.0, 12.830, 12.549, 
44.0, 0.0, 396.0, 13.125, 12.750, 12.559, 
44.0, 0.0, 396.0, 13.0, 12.789, 12.569, 
44.0, 0.0, 395.0, 13.125, 12.929, 12.569, 
45.0, 0.0, 394.0, 13.0, 12.819, 12.660, 
45.0, 0.0, 394.0, 13.250, 12.739, 12.610, 
45.0, 0.0, 394.0, 13.125, 12.819, 12.660, 
46.0, 0.0, 394.0, 13.125, 12.700, 12.589, 
46.0, 0.0, 394.0, 13.250, 12.849, 12.609, 
47.0, 0.0, 393.0, 13.125, 12.769, 12.589, 
47.0, 0.0, 393.0, 13.0, 12.779, 12.650, 
47.0, 0.0, 393.0, 13.0, 12.839, 12.660, 
48.0, 0.0, 393.0, 13.0, 12.829, 12.589, 
48.0, 0.0, 393.0, 13.0, 12.759, 12.719, 
48.0, 0.0, 10000.0, 13.0, 12.950, 12.769, 
49.0, 0.0, 392.0, 13.0, 12.909, 12.650, 
49.0, 0.0, 392.0, 13.125, 12.750, 12.589, 
50.0, 0.0, 392.0, 13.0, 12.840, 12.600, 
50.0, 0.0, 392.0, 13.250, 12.680, 12.580, 
50.0, 0.0, 10000.0, 13.250, 12.809, 12.649, 
51.0, 0.0, 390.0, 13.250, 12.860, 12.699, 
51.0, 0.0, 390.0, 13.0, 12.750, 12.639, 
52.0, 0.0, 390.0, 13.125, 12.770, 12.579, 
52.0, 0.0, 390.0, 13.0, 12.739, 12.619, 
52.0, 0.0, 389.500, 13.125, 12.839, 12.619, 
53.0, 0.0, 389.0, 13.250, 12.789, 12.639, 
53.0, 0.0, 389.0, 13.125, 12.910, 12.649, 
53.0, 0.0, 389.0, 13.125, 12.750, 12.600, 
54.0, 0.0, 389.0, 13.125, 12.819, 12.630, 
54.0, 0.0, 389.0, 13.125, 12.860, 12.639, 
55.0, 0.0, 388.0, 13.250, 12.789, 12.649, 
55.0, 0.0, 388.0, 13.250, 12.739, 12.680, 
55.0, 0.0, 388.0, 13.125, 12.839, 12.639, 
56.0, 0.0, 388.0, 13.125, 12.809, 12.670, 
56.0, 0.0, 388.0, 13.125, 12.929, 12.639, 
56.0, 0.0, 388.0, 13.250, 12.819, 12.650, 
57.0, 0.0, 388.0, 13.250, 12.750, 12.639, 
57.0, 0.0, 388.0, 13.125, 12.819, 12.650, 
57.0, 0.0, 388.0, 13.125, 12.750, 12.620, 
58.0, 0.0, 388.0, 13.0, 12.819, 12.639, 
58.0, 0.0, 388.0, 13.125, 12.759, 12.680, 
59.0, 0.0, 387.0, 13.125, 12.769, 12.629, 
59.0, 0.0, 387.0, 13.250, 12.720, 12.680, 
59.0, 0.0, 387.0, 13.125, 12.860, 12.680, 
60.0, 0.0, 387.0, 13.125, 12.860, 12.700, 
60.0, 0.0, 387.0, 13.250, 12.759, 12.670, 
60.0, 0.0, 387.0, 13.250, 12.770, 12.699, 
61.0, 0.0, 387.0, 13.250, 12.809, 12.680, 
61.0, 0.0, 387.0, 13.250, 12.809, 12.680, 
61.0, 0.0, 387.0, 13.125, 12.799, 12.650, 
62.0, 0.0, 387.0, 13.250, 12.889, 12.690, 
62.0, 0.0, 387.0, 13.125, 12.989, 12.680, 
63.0, 0.0, 386.0, 13.125, 12.819, 12.779, 
63.0, 0.0, 386.0, 13.250, 12.789, 12.699, 
63.0, 0.0, 386.0, 13.125, 12.789, 12.670, 
64.0, 0.0, 386.0, 13.0, 12.789, 12.639, 
64.0, 0.0, 386.0, 13.0, 12.789, 12.720, 
64.0, 0.0, 10000.0, 13.250, 12.869, 12.670, 
65.0, 0.0, 385.0, 13.0, 12.750, 12.690, 
65.0, 0.0, 385.0, 13.0, 12.839, 12.690, 
66.0, 0.0, 385.0, 13.250, 12.750, 12.700, 
66.0, 0.0, 385.0, 13.0, 12.799, 12.720, 
66.0, 0.0, 385.0, 13.0, 12.769, 12.690, 
67.0, 0.0, 385.0, 13.125, 12.770, 12.720, 
67.0, 0.0, 385.0, 13.250, 12.880, 12.710, 
67.0, 0.0, 385.0, 13.125, 12.839, 12.649, 
68.0, 0.0, 385.0, 13.125, 12.779, 12.739, 
68.0, 0.0, 385.0, 13.0, 12.839, 12.679, 
68.0, 0.0, 10000.0, 13.250, 12.809, 12.709, 
69.0, 0.0, 384.0, 13.250, 12.770, 12.699, 
69.0, 0.0, 384.0, 13.125, 12.809, 12.709, 
70.0, 0.0, 384.0, 13.250, 12.789, 12.690, 
70.0, 0.0, 384.0, 13.0, 12.720, 12.699, 
70.0, 0.0, 383.500, 13.0, 12.799, 12.730, 
71.0, 0.0, 383.0, 13.0, 12.869, 12.739, 
71.0, 0.0, 383.0, 13.125, 12.770, 12.690, 
71.0, 0.0, 383.0, 13.125, 12.809, 12.729, 
72.0, 0.0, 383.0, 13.125, 12.779, 12.739, 
72.0, 0.0, 383.0, 13.125, 12.839, 12.770, 
73.0, 0.0, 383.0, 13.0, 12.769, 12.699, 
73.0, 0.0, 383.0, 13.125, 12.750, 12.709, 
73.0, 0.0, 383.0, 13.125, 12.809, 12.720, 
74.0, 0.0, 383.0, 13.125, 12.819, 12.729, 
74.0, 0.0, 383.0, 13.0, 12.819, 12.750, 
74.0, 0.0, 383.0, 13.0, 12.839, 12.690, 
75.0, 0.0, 383.0, 13.250, 12.799, 12.720, 
75.0, 0.0, 383.0, 13.125, 12.770, 12.740, 
75.0, 0.0, 383.0, 13.0, 12.839, 12.750, 
76.0, 0.0, 383.0, 13.125, 12.839, 12.779, 
76.0, 0.0, 5191.500, 13.0, 12.910, 12.739, 
77.0, 0.0, 383.0, 13.0, 12.860, 12.720, 
77.0, 0.0, 383.0, 13.125, 12.820, 12.720, 
78.0, 0.0, 383.0, 13.125, 12.789, 12.750, 
78.0, 0.0, 383.0, 13.0, 12.800, 12.760, 
78.0, 0.0, 383.0, 13.250, 12.809, 12.750, 
79.0, 0.0, 386.0, 13.0, 12.849, 12.750, 
79.0, 0.0, 386.0, 13.125, 12.889, 12.750, 
79.0, 0.0, 386.0, 13.0, 12.819, 12.770, 
80.0, 0.0, 386.0, 13.0, 12.849, 12.769, 
80.0, 0.0, 386.0, 13.125, 12.820, 12.729, 
80.0, 0.0, 10000.0, 13.0, 12.829, 12.750, 
81.0, 0.0, 395.0, 13.0, 12.810, 12.750, 
81.0, 0.0, 395.0, 13.125, 12.819, 12.740, 
82.0, 0.0, 395.0, 13.0, 12.869, 12.759, 
82.0, 0.0, 395.0, 13.250, 12.839, 12.790, 
82.0, 0.0, 10000.0, 13.0, 12.829, 12.730, 
83.0, 0.0, 433.0, 13.125, 12.869, 12.799, 
83.0, 0.0, 433.0, 13.0, 12.849, 12.769, 
84.0, 0.0, 433.0, 13.0, 12.819, 12.759, 
84.0, 0.0, 433.0, 13.125, 12.880, 12.759, 
84.0, 0.0, 433.0, 13.0, 12.910, 12.769, 
85.0, 0.0, 505.0, 13.125, 12.860, 12.779, 
85.0, 0.0, 505.0, 13.125, 12.799, 12.750, 
85.0, 0.0, 505.0, 13.0, 12.889, 12.779, 
86.0, 0.0, 505.0, 13.0, 12.910, 12.799, 
86.0, 0.0, 505.0, 13.125, 12.889, 12.829, 
86.0, 0.0, 10000.0, 13.0, 12.769, 12.790, 
87.0, 0.0, 579.0, 13.250, 12.809, 12.769, 
87.0, 0.0, 579.0, 13.250, 12.809, 12.769, 
88.0, 0.0, 579.0, 13.125, 12.880, 12.779, 
88.0, 0.0, 579.0, 13.125, 12.930, 12.790, 
88.0, 0.0, 10000.0, 13.0, 12.910, 12.850, 
89.0, 0.0, 630.0, 13.125, 12.809, 12.770, 
89.0, 0.0, 630.0, 13.125, 12.840, 12.839, 
90.0, 0.0, 630.0, 13.125, 12.860, 12.760, 
90.0, 0.0, 630.0, 13.0, 12.819, 12.809, 
90.0, 0.0, 630.0, 13.0, 12.809, 12.850, 
91.0, 0.0, 664.0, 13.0, 12.869, 12.779, 
91.0, 0.0, 664.0, 13.0, 12.889, 12.799, 
91.0, 0.0, 664.0, 13.0, 12.849, 12.809, 
92.0, 0.0, 664.0, 13.250, 12.829, 12.820, 
92.0, 0.0, 664.0, 13.125, 12.919, 12.799, 
92.0, 0.0, 10000.0, 13.0, 12.869, 12.829, 
93.0, 0.0, 682.0, 13.125, 12.809, 12.849, 
93.0, 0.0, 682.0, 13.0, 12.819, 12.779, 
94.0, 0.0, 682.0, 13.250, 12.889, 12.779, 
94.0, 0.0, 682.0, 13.125, 12.889, 12.799, 
94.0, 0.0, 10000.0, 13.0, 12.910, 12.829, 
95.0, 0.0, 691.0, 13.125, 12.889, 12.869, 
