Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Calibration timed-out...Offset is set as default: 507 Hz GPS lost
0:0:0, 18972.003479, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 19878.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 19932.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 20836.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 20889.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 21793.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 21852.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 22757.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 22806.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 23708.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 23760.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 24670.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 24720.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 25621.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 25674.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 26578.0049133, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 26629.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 27535.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 27594.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 28496.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 28546.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 29448.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 29497.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 30404.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.7771, 
0:0:0, 30454.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 26.9279, 
0:0:0, 31237.0060577, 0, 0.0, 0, 38.0975036, 137.088005, 0, 0, 0, 200.5500183, 0, 0, 0, 0, 200.9106, 26.7771, 
0:0:0, 31294.0060577, 0, 0.0, 0, 38.0975036, 137.088005, 0, 0, 0, 200.5500183, 0, 0, 0, 0, 200.9106, 26.9279, 
0:0:0, 31971.0061035, 0, 0.0, 0, 41.6855849, 137.088005, 0, 0, 0, 32.5499992, 0, 0, 0, 0, 32.8745, 26.9279, 
0:0:0, 32657.0062866, 0, 0.0, 0, 44.5479507, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 28.668, 26.9279, 
0:0:0, 32714.0062866, 0, 0.0, 0, 44.5479507, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 28.668, 26.9279, 
0:0:0, 33299.0063629, 0, 0.0, 0, 47.530941, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 31.2725, 26.9279, 
0:0:0, 33355.0063781, 0, 0.0, 0, 47.530941, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 31.2725, 26.9279, 
0:0:0, 33909.0064086, 0, 0.0, 0, 50.0731735, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 28.601, 26.9279, 
0:0:0, 34497.0066223, 0, 0.0, 0, 51.6907462, 137.088005, 0, 0, 0, 17.8500003, 0, 0, 0, 0, 18.5057, 26.9279, 
0:0:0, 34553.0066223, 0, 0.0, 0, 51.6907462, 137.088005, 0, 0, 0, 17.8500003, 0, 0, 0, 0, 18.5057, 26.9279, 
0:0:0, 35065.0068359, 0, 0.0, 0, 53.4679183, 137.088005, 0, 0, 0, 21, 0, 0, 0, 0, 21.420, 26.9279, 
0:0:0, 35615.0068969, 0, 0.0, 0, 54.9688834, 137.088005, 0, 0, 0, 17.8500003, 0, 0, 0, 0, 18.3492, 26.9279, 
0:0:0, 35678.0068969, 0, 0.0, 0, 54.9688834, 137.088005, 0, 0, 0, 17.8500003, 0, 0, 0, 0, 18.3492, 26.7771, 
0:0:0, 36154.0068435, 0, 0.0, 0, 56.1976432, 137.088005, 0, 0, 0, 14.6999997, 0, 0, 0, 0, 15.3487, 26.9279, 
0:0:0, 36211.0068511, 0, 0.0, 0, 56.1976432, 137.088005, 0, 0, 0, 14.6999997, 0, 0, 0, 0, 15.3487, 26.9279, 
0:0:0, 36681.0068969, 0, 0.0, 0, 57.4264526, 137.088005, 0, 0, 0, 14.6999997, 0, 0, 0, 0, 15.7012, 26.7771, 
0:0:0, 37200.0073394, 0, 0.0, 0, 58.1801605, 137.088005, 0, 0, 0, 9.4499997, 0, 0, 0, 0, 9.7636, 26.9279, 
0:0:0, 37262.0073394, 0, 0.0, 0, 58.1801605, 137.088005, 0, 0, 0, 9.4499997, 0, 0, 0, 0, 9.7636, 26.9279, 
0:0:0, 37714.0073852, 0, 0.0, 0, 58.5558242, 137.088005, 0, 0, 0, 4.1999998, 0, 0, 0, 0, 4.9109, 26.9279, 
0:0:0, 38242.0073394, 0, 0.0, 0, 56.8916969, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, -21.2444, 26.9279, 
0:0:0, 38295.0073394, 0, 0.0, 0, 56.8916969, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, -21.2444, 26.9279, 
0:0:0, 38776.0073852, 0, 0.0, 0, 56.1330985, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, -9.5430, 26.9279, 
0:0:0, 39321.007843, 0, 0.0, 0, 55.2367362, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, -11.836, 26.9279, 
0:0:0, 39374.007843, 0, 0.0, 0, 55.2367362, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, -11.836, 26.9279, 
0:0:0, 39874.0078735, 0, 0.0, 0, 54.1541976, 137.088005, 0, 0, 0, -12.6000003, 0, 0, 0, 0, -13.1667, 26.7771, 
0:0:0, 40436.007843, 0, 0.0, 0, 53.3602714, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, -9.5021, 26.9279, 
0:0:0, 40492.007843, 0, 0.0, 0, 53.3602714, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, -9.5021, 26.9279, 
0:0:0, 41010.0079956, 0, 0.0, 0, 52.3799552, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, -11.4974, 26.9279, 
0:0:0, 41593.0080261, 0, 0.0, 0, 51.4307899, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, -10.9480, 26.9279, 
