Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 509 Hz. 
0:0:0, 7249.0014801, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 8153.0014724, 0, 0.0, 0, 0, 0, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 8212.0014801, 0, 0.0, 0, 0, 0, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 9113.0019607, 0, 0.0, 0, 0, 0, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 9162.0019607, 0, 0.0, 0, 0, 0, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 27.8369,  GPS lost
0:0:0, 10064.0019531, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 10110.0019607, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 11014.0021362, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 11067.0021362, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 11973.0021972, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 12022.0023193, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 12924.0023803, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 12979.0023803, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.9891, 
0:0:0, 13882.0025024, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.9891, 
0:0:0, 13931.0025024, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 14524.002716, 0, 0.0, 0, 28.0089015, 137.088005, 0, 0, 0, 168.0000076, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 14580.002716, 0, 0.0, 0, 28.0089015, 137.088005, 0, 0, 0, 168.0000076, 0, 0, 0, 0, 0.0, 27.8369, 
0:0:0, 15483.0029602, 0, 0.0, 0, 32.4719543, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 80.646, 27.9891, 
0:0:0, 15546.0029602, 0, 0.0, 0, 32.4719543, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 80.646, 27.8369, 
0:0:0, 16338.0029602, 0, 0.0, 0, 36.0322837, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 80.646, 27.9891, 
0:0:0, 17125.0034255, 0, 0.0, 0, 39.0153579, 137.088005, 0, 0, 0, 25.2000007, 0, 0, 0, 0, 80.646, 27.9891, 
0:0:0, 17182.0034255, 0, 0.0, 0, 39.0153579, 137.088005, 0, 0, 0, 25.2000007, 0, 0, 0, 0, 80.646, 27.9891, 
0:0:0, 17863.003479, 0, 0.0, 0, 41.4354591, 137.088005, 0, 0, 0, 22.0499992, 0, 0, 0, 0, 25.3545, 27.8369, 
0:0:0, 17920.003479, 0, 0.0, 0, 41.4354591, 137.088005, 0, 0, 0, 22.0499992, 0, 0, 0, 0, 25.3545, 27.8369, 
0:0:0, 18573.0034484, 0, 0.0, 0, 42.7602386, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 25.3545, 27.8369, 
0:0:0, 18629.003479, 0, 0.0, 0, 42.7602386, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 25.3545, 27.8369, 
0:0:0, 19265.0039215, 0, 0.0, 0, 43.9537963, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 25.3545, 27.8369, 
0:0:0, 19936.0039672, 0, 0.0, 0, 45.1139945, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 11.9426, 27.6310, 
0:0:0, 19993.0039672, 0, 0.0, 0, 45.1139945, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 11.9426, 27.8369, 
0:0:0, 20598.0039367, 0, 0.0, 0, 45.7279243, 137.088005, 0, 0, 0, 5.2499999, 0, 0, 0, 0, 11.9426, 27.8369, 
0:0:0, 20654.0039672, 0, 0.0, 0, 45.7279243, 137.088005, 0, 0, 0, 5.2499999, 0, 0, 0, 0, 11.9426, 27.8369, 
0:0:0, 21240.0041046, 0, 0.0, 0, 47.1592864, 137.088005, 0, 0, 0, 14.6999997, 0, 0, 0, 0, 11.9426, 27.9891, 
0:0:0, 21877.0041503, 0, 0.0, 0, 47.2789611, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 7.5065, 27.8369, 
0:0:0, 21934.0041503, 0, 0.0, 0, 47.2789611, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 7.5065, 27.9891, 
0:0:0, 22505.0043029, 0, 0.0, 0, 48.3243408, 137.088005, 0, 0, 0, 10.5, 0, 0, 0, 0, 7.5065, 27.8369, 
0:0:0, 22559.0043029, 0, 0.0, 0, 48.3243408, 137.088005, 0, 0, 0, 10.5, 0, 0, 0, 0, 7.5065, 27.8369, 
0:0:0, 23124.0044021, 0, 0.0, 0, 48.7007904, 137.088005, 0, 0, 0, 3.15, 0, 0, 0, 0, 7.5065, 27.9891, 
0:0:0, 23745.0044555, 0, 0.0, 0, 48.7398948, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 5.2650, 27.9891, 
0:0:0, 23798.0044555, 0, 0.0, 0, 48.7398948, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 5.2650, 27.8369, 
0:0:0, 24356.0046691, 0, 0.0, 0, 49.4585647, 137.088005, 0, 0, 0, 7.3499998, 0, 0, 0, 0, 5.2650, 27.8369, 
0:0:0, 24413.0046691, 0, 0.0, 0, 49.4585647, 137.088005, 0, 0, 0, 7.3499998, 0, 0, 0, 0, 5.2650, 27.8369, 
0:0:0, 24965.0046997, 0, 0.0, 0, 49.9588508, 137.088005, 0, 0, 0, 5.2499999, 0, 0, 0, 0, 5.2650, 27.7835, 
0:0:0, 25554.0049133, 0, 0.0, 0, 50.6670798, 137.088005, 0, 0, 0, 7.3499998, 0, 0, 0, 0, 7.1694, 27.8369, 
0:0:0, 25611.0049438, 0, 0.0, 0, 50.6670798, 137.088005, 0, 0, 0, 7.3499998, 0, 0, 0, 0, 7.1694, 27.9891, 
