Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
23:4:27, 19460.0039367, 10497, 0.0, 0.6839999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448165, 1375.9152526, 0, 9.6446, 24.1340, 
23:4:28, 20459.0039367, 10497, 0.0, 0.6119999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448165, 1374.9772643, 0, 9.6016, 24.2913, 
23:4:30, 21459.0041198, 10498, 0.0, 0.7199999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1374.4591979, 0, 9.6016, 24.2913, 
23:4:30, 22459.0043029, 10498, 0.0, 0.7199999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1374.2292175, 0, 9.5628, 24.2913, 
23:4:31, 23459.004425, 10498, 0.0, 0.5759999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1373.9711608, 0, 9.6446, 24.2913, 
23:4:32, 24460.0046691, 10498, 0.0, 0.7199999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1373.9021911, 0, 9.6446, 24.5243, 
23:4:33, 25459.0049133, 10498, 0.0, 1.1519999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1374.1282653, 0, 9.5202, 24.2913, 
23:4:35, 26460.0049133, 10498, 0.0, 0.7919999, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1374.2552184, 0, 9.5202, 24.2913, 
23:4:36, 27459.0054016, 10498, 0.0, 0.9719998, 0, 19.9799994, 0, 0, 0, 0, 40.6370773, -116.9448241, 1374.5522155, 0, 9.6446, 24.2913, 
23:4:36, 28460.0054016, 10497, 0.0, 0.7199999, 0, 19.9799994, 0, 0, 0, 0, 40.6370811, -116.9448241, 1374.671234, 0, 9.6446, 24.2913, 
