Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),
16:18:23, 4135.00074, 12, 0.0, 137.7719955, 0, 137.0519943, 0, 0, 0, 0, 41.0984077, -102.5317916, 1148.3692092, 0, 3.9906, 23.7327, 
16:18:24, 5582.001007, 40, 0.0, 137.9520034, 0, 137.0159988, 0, 0, 0, 0, 41.0985717, -102.5321502, 1148.3141555, 0, 3.9906, 23.5082, 
16:18:26, 6332.001007, 65, 0.0, 138.2399978, 0, 136.9440078, 0, 0, 0, 0, 41.0987281, -102.5324859, 1148.3441848, 0, 3.9906, 23.3584, 
16:18:27, 7078.0014648, 99, 0.0, 137.2320022, 0, 136.8720016, 0, 0, 0, 0, 41.0989265, -102.5329208, 1148.3551711, 0, 3.9906, 23.5082, 
16:18:28, 8526.0014953, 154, 0.0, 137.1240005, 0, 136.5840072, 0, 0, 0, 0, 41.0992622, -102.5336379, 1148.4601516, 0, 3.9906, 23.7327, 
16:18:29, 9273.0019683, 176, 0.0, 137.2320022, 0, 136.4760055, 0, 0, 0, 0, 41.0993881, -102.5339202, 1148.6301955, 0, 3.9906, 23.5082, 
16:18:30, 10024.0019531, 202, 0.0, 137.6279983, 0, 136.3680038, 0, 0, 0, 0, 41.0995407, -102.5342636, 1148.6872024, 0, 3.9737, 23.5833, 
16:18:31, 11472.0021667, 238, 0.0, 136.907997, 0, 136.1520004, 0, 0, 0, 0, 41.0997657, -102.5347518, 1148.5982131, 0, 3.9906, 23.5833, 
16:18:32, 12219.0023345, 266, 0.0, 136.6200027, 0, 136.0439987, 0, 0, 0, 0, 41.0999374, -102.5351104, 1148.5242385, 0, 3.9737, 23.5833, 
16:18:33, 13667.0025024, 306, 0.0, 138.0960006, 0, 135.8279952, 0, 0, 0, 0, 41.1001815, -102.5356521, 1148.3801956, 0, 3.9906, 23.5082, 
16:18:34, 14418.002716, 322, 0.0, 137.6279983, 0, 135.7560043, 0, 0, 0, 0, 41.1002769, -102.5358657, 1148.379219, 0, 3.9737, 23.5833, 
16:18:35, 15164.0029373, 341, 0.0, 136.3680038, 0, 135.6480025, 0, 0, 0, 0, 41.1003952, -102.5361099, 1148.1251907, 0, 3.9737, 23.5833, 
16:18:36, 16612.0029907, 366, 0.0, 136.907997, 0, 135.5040054, 0, 0, 0, 0, 41.1005439, -102.5364456, 1148.0571975, 0, 3.9737, 23.5833, 
16:18:37, 17363.0034484, 395, 0.0, 137.8799972, 0, 135.3600082, 0, 0, 0, 0, 41.1007232, -102.536827, 1148.1872024, 0, 3.9737, 23.5833, 
16:18:37, 18110.0034255, 419, 0.0, 137.8799972, 0, 135.2520065, 0, 0, 0, 0, 41.1008758, -102.5371627, 1148.2261428, 0, 3.9906, 23.5082, 
16:18:39, 19558.0039367, 468, 0.0, 137.8799972, 0, 135.0000076, 0, 0, 0, 0, 41.1011695, -102.5378112, 1148.7372512, 0, 3.9737, 23.5833, 
16:18:40, 20305.0039367, 490, 0.0, 137.2320022, 0, 134.8920059, 0, 0, 0, 0, 41.1013145, -102.5381164, 1148.9911574, 0, 3.9906, 23.5082, 
16:18:41, 21057.0040893, 513, 0.0, 137.8799972, 0, 134.7480087, 0, 0, 0, 0, 41.1014595, -102.5384292, 1149.0961379, 0, 3.9906, 23.5833, 
16:18:42, 22505.0043029, 540, 0.0, 137.4840011, 0, 134.6400069, 0, 0, 0, 0, 41.1016273, -102.5387878, 1149.1681594, 0, 3.9737, 23.5082, 
16:18:42, 23252.0044097, 556, 0.0, 137.5199966, 0, 134.5320053, 0, 0, 0, 0, 41.1017265, -102.5389938, 1149.1502151, 0, 3.9737, 23.5833, 
16:18:44, 24701.0046997, 606, 0.0, 137.6279983, 0, 134.2800064, 0, 0, 0, 0, 41.1020431, -102.5396881, 1149.3632278, 0, 3.9906, 23.5082, 
16:18:45, 25453.0049133, 638, 0.0, 136.6920089, 0, 134.1360092, 0, 0, 0, 0, 41.1022453, -102.5401306, 1149.6881789, 0, 3.9737, 23.3584, 
16:18:46, 26201.004898, 660, 0.0, 136.6559982, 0, 134.0280075, 0, 0, 0, 0, 41.1023864, -102.5404357, 1150.0311965, 0, 3.9737, 23.5833, 
16:18:47, 27650.0054321, 704, 0.0, 137.3400039, 0, 133.7760086, 0, 0, 0, 0, 41.1026687, -102.5410537, 1150.6022414, 0, 3.9737, 23.5833, 
16:18:48, 28397.0054016, 719, 0.0, 137.2320022, 0, 133.7040023, 0, 0, 0, 0, 41.1027641, -102.5412673, 1150.6471633, 0, 3.9906, 23.5833, 
16:18:49, 29155.005867, 749, 0.0, 137.4840011, 0, 133.5600051, 0, 0, 0, 0, 41.1029586, -102.5416793, 1150.7731399, 0, 3.9737, 23.5082, 
16:18:51, 30603.0059204, 795, 0.0, 138.0239944, 0, 133.3080062, 0, 0, 0, 0, 41.1032524, -102.5423278, 1151.2091751, 0, 3.9737, 23.5833, 
16:18:51, 31350.0060729, 815, 0.0, 138.2399978, 0, 133.2000045, 0, 0, 0, 0, 41.1033821, -102.5426177, 1151.3301467, 0, 3.9906, 23.3584, 
16:18:52, 32101.0062332, 837, 0.0, 137.6279983, 0, 133.0920028, 0, 0, 0, 0, 41.1035232, -102.5429305, 1151.5851516, 0, 3.9124, 23.5082, 
16:18:53, 33549.0063781, 871, 0.0, 139.0680007, 0, 132.9119948, 0, 0, 0, 0, 41.1037445, -102.5434036, 1151.4791946, 0, 3.9906, 23.5833, 
16:18:54, 34296.006607, 885, 0.0, 138.5280075, 0, 132.8400039, 0, 0, 0, 0, 41.1038398, -102.5436096, 1151.4042434, 0, 4.689, 23.3584, 
16:18:54, 35043.0068359, 897, 0.0, 138.0239944, 0, 132.8040084, 0, 0, 0, 0, 41.1039161, -102.5437927, 1151.4711379, 0, 3.9737, 23.4341, 
16:18:56, 36495.0068664, 935, 0.0, 136.7999954, 0, 132.6240005, 0, 0, 0, 0, 41.1041679, -102.5443267, 1152.0452346, 0, 3.9906, 23.3584, 
16:18:56, 37242.0073394, 952, 0.0, 137.4119949, 0, 132.5519943, 0, 0, 0, 0, 41.1042709, -102.5445709, 1152.2511672, 0, 3.9575, 23.2849, 
16:18:58, 38690.0073852, 1000, 0.0, 137.0159988, 0, 132.3360061, 0, 0, 0, 0, 41.1045951, -102.5452651, 1153.0731887, 0, 3.9906, 23.5082, 
16:18:59, 39449.007843, 1021, 0.0, 137.6279983, 0, 132.2280044, 0, 0, 0, 0, 41.1047363, -102.5455703, 1153.4141311, 0, 3.9906, 23.3584, 
16:19:0, 40200.0078277, 1048, 0.0, 138.1319961, 0, 132.1200027, 0, 0, 0, 0, 41.1049156, -102.5459594, 1153.7821731, 0, 3.9737, 23.3584, 
16:19:1, 41648.0080566, 1080, 0.0, 138.888008, 0, 131.9760055, 0, 0, 0, 0, 41.105133, -102.5464248, 1154.0202102, 0, 3.9737, 23.5833, 
16:19:2, 42394.0082092, 1096, 0.0, 138.0239944, 0, 131.9039992, 0, 0, 0, 0, 41.1052398, -102.5466537, 1154.2781448, 0, 3.9737, 23.5833, 
16:19:3, 43145.0083084, 1128, 0.0, 138.312004, 0, 131.7600021, 0, 0, 0, 0, 41.1054534, -102.5471343, 1154.6771926, 0, 3.9906, 23.3584, 
16:19:4, 44593.0085754, 1148, 0.0, 138.383995, 0, 131.6520003, 0, 0, 0, 0, 41.1055946, -102.5474395, 1154.919136, 0, 3.9906, 23.5833, 
16:19:5, 45339.0088195, 1175, 0.0, 137.8080062, 0, 131.5439987, 0, 0, 0, 0, 41.1057739, -102.5478362, 1155.1922073, 0, 3.9737, 23.5833, 
16:19:5, 46086.008789, 1185, 0.0, 137.5560073, 0, 131.4720077, 0, 0, 0, 0, 41.1058425, -102.5479888, 1155.3052444, 0, 3.9906, 23.5082, 
16:19:7, 47538.0093078, 1242, 0.0, 137.2320022, 0, 131.2200088, 0, 0, 0, 0, 41.1062316, -102.5488357, 1155.8992385, 0, 4.689, 23.3584, 
16:19:8, 48285.0092926, 1252, 0.0, 137.7000045, 0, 131.1839981, 0, 0, 0, 0, 41.1063041, -102.5489959, 1156.0431594, 0, 3.9906, 23.3584, 
16:19:9, 49032.0097656, 1272, 0.0, 137.3759994, 0, 131.0759963, 0, 0, 0, 0, 41.1064414, -102.5493011, 1156.3262405, 0, 3.9906, 23.5833, 
16:19:10, 50480.007843, 1304, 0.0, 136.2240066, 0, 130.9319991, 0, 0, 0, 0, 41.1066627, -102.5497894, 1156.8522414, 0, 3.9737, 23.3584, 
16:19:11, 51231.0080108, 1330, 0.0, 137.9160079, 0, 130.8239974, 0, 0, 0, 0, 41.1068382, -102.5501785, 1157.1151809, 0, 3.9737, 23.4341, 
16:19:12, 52679.0082397, 1368, 0.0, 138.4560012, 0, 130.6440047, 0, 0, 0, 0, 41.1070976, -102.5507812, 1157.4951858, 0, 3.9737, 23.4341, 
16:19:13, 53426.0083312, 1381, 0.0, 138.383995, 0, 130.5719985, 0, 0, 0, 0, 41.1071853, -102.5509948, 1157.6521682, 0, 3.9737, 23.4341, 
16:19:13, 54173.0085525, 1390, 0.0, 138.3479995, 0, 130.5360031, 0, 0, 0, 0, 41.1072463, -102.5511321, 1157.7721633, 0, 3.9737, 23.3584, 
16:19:15, 55625.00885, 1432, 0.0, 137.8440017, 0, 130.3559951, 0, 0, 0, 0, 41.1075286, -102.5518188, 1158.3611526, 0, 3.9737, 23.5833, 
16:19:16, 56371.0088195, 1456, 0.0, 137.8440017, 0, 130.2480087, 0, 0, 0, 0, 41.107685, -102.5522155, 1158.6511916, 0, 3.9737, 23.5833, 
16:19:17, 57118.0092849, 1484, 0.0, 138.0600051, 0, 130.1039962, 0, 0, 0, 0, 41.107872, -102.5526962, 1158.827217, 0, 4.689, 23.3584, 
16:19:17, 58569.0093078, 1484, 0.0, 138.0600051, 0, 130.1039962, 0, 0, 0, 0, 41.107872, -102.5526962, 1158.827217, 0, 3.9737, 23.4341, 
16:19:17, 59315.0097961, 1484, 0.0, 138.0600051, 0, 130.1039962, 0, 0, 0, 0, 41.107872, -102.5526962, 1158.827217, 0, 3.9906, 23.3584, 
16:19:17, 60061.0117187, 1484, 0.0, 138.0600051, 0, 130.1039962, 0, 0, 0, 0, 41.107872, -102.5526962, 1158.827217, 0, 3.9737, 23.5833, 
16:19:17, 61508.0119323, 1484, 0.0, 138.0600051, 0, 130.1039962, 0, 0, 0, 0, 41.107872, -102.5526962, 1158.827217, 0, 3.9906, 23.3584, 
