Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Calibration timed-out...Offset is set as default: 507 Hz GPS lost
0:0:0, 19806.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 10.1350, 26.9904, 
0:0:0, 20711.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 10.532, 26.9904, 
0:0:0, 21615.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 10.84, 26.9904, 
0:0:0, 22514.0043029, 0, 0.0, 0, 17.7134208, 137.088005, 0, 0, 0, 67.1999969, 0, 0, 0, 0, 10.532, 27.2158, 
0:0:0, 23422.004425, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -137.5500106, 0, 0, 0, 0, 10.532, 26.9904, 
0:0:0, 24327.0046691, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 10.84, 26.9904, 
0:0:0, 25231.004898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 10.532, 26.9904, 
0:0:0, 26132.0048904, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9270, 27.2158, 
0:0:0, 27884.0054321, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9715, 26.9904, 
0:0:0, 28784.0054321, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9715, 26.9904, 
0:0:0, 29684.0059204, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9270, 26.9904, 
0:0:0, 30584.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.9715, 26.9904, 
0:0:0, 31494.0060729, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9715, 27.2158, 
0:0:0, 32394.0062561, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9715, 27.2158, 
0:0:0, 33294.0063629, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9715, 26.9904, 
0:0:0, 34194.0065994, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.9715, 26.8301, 
0:0:0, 35949.0068969, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.9270, 27.2158, 
0:0:0, 36849.0068969, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.9270, 26.9904, 
0:0:0, 37751.0073852, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.9715, 26.9904, 
